"","Date","Moisture 8.0","Moisture 16.0","Moisture 26.0","Temperature 8.0","Temperature 16.0","Ecpw 8.0","Ecpw 16.0","Ecpw 26.0"
"1485","07/07/24 05:00",38.0516937726055,40.2331393063862,33.4243048557379,72.05,70.7,1.64659758365611,2.20158510822886,1.85026161489666
"1486","07/07/24 05:30",38.1093704129593,40.2345288151188,33.4203543460407,71.816,70.916,1.61367110408444,2.20122650509801,1.8515037449426
"1487","07/07/24 06:00",38.0531586949635,40.2331393063862,33.4284110136507,71.816,70.7,1.63016201874892,2.20084238061115,1.84974957932007
"1488","07/07/24 06:30",37.9983446655918,40.2345288151188,33.4203543460407,71.6,70.916,1.64903998511801,2.20020727492099,1.84818971323815
"1489","07/07/24 07:00",37.9969128123632,40.2317437809973,33.3716627372923,71.6,70.7,1.64028041413357,2.19958283896953,1.8529278151212
"1490","07/07/24 07:30",37.9969128123631,40.2331393063862,33.4243048557379,71.3659999999999,70.7,1.63738488209158,2.19901426098296,1.8477617113364
"1491","07/07/24 08:00",37.9955205274426,40.2331393063862,33.4243048557379,71.3659999999999,70.7,1.62710980190204,2.19834969343162,1.84638468241367
"1492","07/07/24 08:30",37.9955205274425,40.2317437809973,33.4770342014906,71.1499999999999,70.7,1.62239794635008,2.19739130146478,1.84003306031154
"1493","07/07/24 09:00",37.9983446655918,40.2331393063862,33.4809990468897,70.916,70.7,1.61821611843223,2.19640421655377,1.840037051771
"1494","07/07/24 09:30",37.9435806990907,40.1682399638949,33.4284110136506,70.916,70.7,1.64228459950373,2.19788350754985,1.8458877746293
"1495","07/07/24 10:00",37.9955205274426,40.2317437809973,33.4770342014906,70.7,70.7,1.62175536211187,2.19580191443512,1.84019327457023
"1496","07/07/24 10:30",37.9969128123631,40.2289343880942,33.4809990468897,70.7,70.466,1.62148517722133,2.19561468022938,1.84139582310507
"1497","07/07/24 11:00",37.9408360334955,40.166840000516,33.432482738018,70.7,70.466,1.6461410517378,2.19682249843695,1.84464406698223
"1498","07/07/24 11:30",37.9969128123631,40.1682399638949,33.4770342014906,70.466,70.466,1.61420578447424,2.19646791413988,1.84012374954892
"1499","07/07/24 12:00",37.9955205274426,40.2303421661391,33.4850700981474,70.466,70.466,1.61050869495181,2.19436265409515,1.84066973404328
"1500","07/07/24 12:30",37.9408360334955,40.166840000516,33.53362553651,70.466,70.466,1.63602269270036,2.195892176698,1.83385552064431
"1501","07/07/24 13:00",37.9969128123631,40.166840000516,33.4850700981474,70.466,70.2499999999999,1.60905273328781,2.19536671524967,1.83852240183219
